aid	gid	qid	complete	completetime
10257719	281877	21625	1	2019-01-31 14:29:57.943
10257719	281877	21622	1	2019-01-31 14:29:57.940
9067748	547196	21625	1	2019-01-31 14:29:57.937
9067748	547196	21622	1	2019-01-31 14:29:57.933
5959463	407084	21616	1	2019-01-31 14:29:51.313
10736154	562687	21625	1	2019-01-31 14:29:43.193
10736154	562687	21616	1	2019-01-31 14:29:43.190
10736154	562687	21619	1	2019-01-31 14:29:43.190
10736154	562687	21622	1	2019-01-31 14:29:43.190
10609330	235136	21622	1	2019-01-31 14:29:41.667
10518740	119819	21622	1	2019-01-31 14:29:39.480
10518740	119819	21625	1	2019-01-31 14:29:39.480
